problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-24/trial_T20190906_185346_459023,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CoffeeMachineType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(EnsureObjectIsClean_7 env_state env mug sinkbasin)\n(PutObjectInReceptacle_580 env_state env mug coffeemachine)')",False,"EnsureObjectIsClean_7, PutObjectInReceptacle_580",
train/pick_heat_then_place_in_recep-PotatoSliced-None-GarbageCan-25/trial_T20190907_165437_326025,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(VerifyCookedAndSlicedPotato_0 env_state env potato)\n(PickupObject_112 env_state env potato)\n(PutObjectInReceptacle_126 env_state env potato garbagecan)')",False,"VerifyCookedAndSlicedPotato_0, PickupObject_112, PutObjectInReceptacle_126",
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233941_496641,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(EnsureCleanKnife_0 env_state env knife)\n(PickupKnifeIfNotYet_0 env_state env knife countertop)\n(PlaceKnifeOnCountertopIfElsewhere_0 env_state env knife countertop)\n(PickupTomato_0 env_state env tomato)\n(SliceTomato_0 env_state env tomato)')",False,"EnsureCleanKnife_0, PickupKnifeIfNotYet_0, PlaceKnifeOnCountertopIfElsewhere_0, PickupTomato_0, SliceTomato_0",
train/pick_and_place_simple-Candle-None-CounterTop-417/trial_T20190909_142343_223524,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CandleType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_991 env_state env candle)\n(PutObject_92 env_state env candle countertop)')",True,"PickupObject_991, PutObject_92","PickupObject_991, PutObject_92"
train/pick_cool_then_place_in_recep-TomatoSliced-None-DiningTable-18/trial_T20190914_033809_050650,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_1005 env_state env knife)\n(SliceObject_162 env_state env tomato)\n(PickupObject_868 env_state env tomato)\n(PutObjectInReceptacle_135 env_state env tomato fridge)\n(PickupObject_144 env_state env tomato)\n(PutObjectInReceptacle_728 env_state env tomato diningtable)')",False,"PickupObject_1005, SliceObject_162, PickupObject_868, PutObjectInReceptacle_135, PickupObject_144, PutObjectInReceptacle_728",
train/pick_cool_then_place_in_recep-Tomato-None-DiningTable-11/trial_T20190908_220012_692282,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_396 env_state env tomato)\n(CoolObject_138 env_state env tomato fridge)\n(PutObjectInReceptacle_149 env_state env tomato diningtable)')",False,"PickupObject_396, CoolObject_138, PutObjectInReceptacle_149",PickupObject_396
train/look_at_obj_in_light-Laptop-None-DeskLamp-323/trial_T20190908_014226_839563,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o LaptopType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleObjectOn_82 env_state env desklamp)\n(PickupObject_520 env_state env laptop)\n(PlaceObjectInLight_0 env_state env laptop coffeetable)')",False,"ToggleObjectOn_82, PickupObject_520, PlaceObjectInLight_0","ToggleObjectOn_82, PickupObject_520"
train/pick_and_place_simple-Tomato-None-Microwave-8/trial_T20190907_205050_993517,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_962 env_state env tomato)\n(PutObjectInReceptacle_636 env_state env tomato microwave)')",True,"PickupObject_962, PutObjectInReceptacle_636","PickupObject_962, PutObjectInReceptacle_636"
train/pick_heat_then_place_in_recep-Tomato-None-SinkBasin-6/trial_T20190907_204944_538890,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_113 env_state env tomato)\n(HeatObject_17 env_state env tomato stoveburner)\n(PutObjectInReceptacle_477 env_state env tomato sinkbasin)')",False,"PickupObject_113, HeatObject_17, PutObjectInReceptacle_477","PickupObject_113, HeatObject_17, PutObjectInReceptacle_477"
train/pick_cool_then_place_in_recep-Potato-None-GarbageCan-6/trial_T20190907_164308_014097,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_1097 env_state env potato)\n(CoolObject_59 env_state env potato fridge)\n(PutObjectInReceptacle_199 env_state env potato garbagecan)')",False,"PickupObject_1097, CoolObject_59, PutObjectInReceptacle_199",PickupObject_1097
train/pick_heat_then_place_in_recep-AppleSliced-None-SideTable-21/trial_T20190908_030402_887474,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_267 env_state env apple)\n(SliceObject_197 env_state env apple)\n(HeatObjectInMicrowave_0 env_state env apple microwave)\n(PutObjectInReceptacle_748 env_state env apple diningtable)')",False,"PickupObject_267, SliceObject_197, HeatObjectInMicrowave_0, PutObjectInReceptacle_748",PickupObject_267
train/pick_cool_then_place_in_recep-Lettuce-None-DiningTable-27/trial_T20190907_175045_014819,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o LettuceType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_287 env_state env lettuce)\n(OpenObject_36 env_state env fridge)\n(PutObject_86 env_state env lettuce fridge)\n(CloseObject_10 env_state env fridge)\n(PickupObject_511 env_state env lettuce)\n(PutObject_76 env_state env lettuce diningtable)')",False,"PickupObject_287, OpenObject_36, PutObject_86, CloseObject_10, PickupObject_511, PutObject_76",
train/pick_and_place_simple-CellPhone-None-Desk-327/trial_T20190907_162400_978293,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CellPhoneType) \n                (receptacleType ?r DeskType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_1038 env_state env cellphone)\n(PutObjectInReceptacle_519 env_state env cellphone desk)')",True,"PickupObject_1038, PutObjectInReceptacle_519","PickupObject_1038, PutObjectInReceptacle_519"
train/pick_cool_then_place_in_recep-Bowl-None-Cabinet-18/trial_T20190908_031815_585714,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BowlType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_391 env_state env bowl)\n(PutObjectInReceptacle_50 env_state env bowl cabinet)')",False,"PickupObject_391, PutObjectInReceptacle_50",
train/pick_and_place_simple-KeyChain-None-Sofa-229/trial_T20190908_123359_988104,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KeyChainType) \n                (receptacleType ?r SofaType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_1048 env_state env keychain)\n(PutObjectInReceptacle_271 env_state env keychain sofa)')",True,"PickupObject_1048, PutObjectInReceptacle_271","PickupObject_1048, PutObjectInReceptacle_271"
train/look_at_obj_in_light-CellPhone-None-DeskLamp-318/trial_T20190909_005934_726946,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CellPhoneType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_1009 env_state env cellphone)\n(ToggleObjectOn_195 env_state env desklamp)')",True,"PickupObject_1009, ToggleObjectOn_195","PickupObject_1009, ToggleObjectOn_195"
train/look_at_obj_in_light-KeyChain-None-FloorLamp-203/trial_T20190909_060210_354107,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o KeyChainType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_27 env_state env keychain)\n(ToggleLampOn_4 env_state env floorlamp)')",False,"PickupObject_27, ToggleLampOn_4",PickupObject_27
train/pick_heat_then_place_in_recep-AppleSliced-None-SinkBasin-18/trial_T20190909_005234_628704,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_1123 env_state env apple)\n(SliceObject_135 env_state env apple)\n(PickupObject_567 env_state env apple)\n(ToggleObjectOn_152 env_state env microwave)\n(PickupObject_589 env_state env apple)\n(PutObjectInReceptacle_491 env_state env apple sinkbasin)')",False,"PickupObject_1123, SliceObject_135, PickupObject_567, ToggleObjectOn_152, PickupObject_589, PutObjectInReceptacle_491",PickupObject_1123
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-30/trial_T20190909_044843_334172,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_73 env_state env mug)\n(HeatObject_48 env_state env mug microwave)\n(PickupObject_681 env_state env mug)\n(PutObjectInReceptacle_299 env_state env mug cabinet)')",False,"PickupObject_73, HeatObject_48, PickupObject_681, PutObjectInReceptacle_299","PickupObject_73, HeatObject_48"
train/pick_cool_then_place_in_recep-Pot-None-DiningTable-27/trial_T20190909_013328_302952,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_377 env_state env pan)\n(PutObjectInReceptacle_610 env_state env pan fridge)\n(CoolObject_72 env_state env pan)\n(PickupObjectFromReceptacle_2 env_state env pan fridge)\n(PutObjectInReceptacle_463 env_state env pan diningtable)')",False,"PickupObject_377, PutObjectInReceptacle_610, CoolObject_72, PickupObjectFromReceptacle_2, PutObjectInReceptacle_463",
train/pick_heat_then_place_in_recep-Cup-None-Cabinet-27/trial_T20190908_123907_725964,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CupType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_17 env_state env glassbottle)\n(HeatObject_29 env_state env glassbottle stoveburner)\n(PickupObject_858 env_state env glassbottle)\n(PutObjectInReceptacle_788 env_state env glassbottle cabinet)')",False,"PickupObject_17, HeatObject_29, PickupObject_858, PutObjectInReceptacle_788",
train/pick_heat_then_place_in_recep-Mug-None-Shelf-7/trial_T20190907_022308_669309,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObjectFromReceptacle_27 env_state env cup diningtable)\n(HeatObject_136 env_state env cup microwave)\n(PickupObject_92 env_state env cup)\n(PutObjectInReceptacle_430 env_state env cup shelf)')",False,"PickupObjectFromReceptacle_27, HeatObject_136, PickupObject_92, PutObjectInReceptacle_430",PickupObjectFromReceptacle_27
train/pick_clean_then_place_in_recep-SoapBar-None-BathtubBasin-411/trial_T20190907_033311_020938,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SoapBarType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_878 env_state env soapbar)\n(PutObjectInReceptacle_9 env_state env soapbar bathtubbasin)')",False,"PickupObject_878, PutObjectInReceptacle_9","PickupObject_878, PutObjectInReceptacle_9"
train/pick_cool_then_place_in_recep-Pot-None-Cabinet-1/trial_T20190908_184157_888194,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(CoolObject_93 env_state env pot fridge)\n(PickupObject_106 env_state env pot)\n(PutObjectInReceptacle_122 env_state env pot cabinet)')",False,"CoolObject_93, PickupObject_106, PutObjectInReceptacle_122",
train/pick_cool_then_place_in_recep-BreadSliced-None-GarbageCan-19/trial_T20190908_174425_766449,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(SliceObject_259 env_state env bread)\n(EnsureObjectIsCool_0 env_state env bread)\n(PickupObject_434 env_state env bread)\n(PutObjectInReceptacle_105 env_state env bread garbagecan)')",False,"SliceObject_259, EnsureObjectIsCool_0, PickupObject_434, PutObjectInReceptacle_105",
train/pick_heat_then_place_in_recep-Cup-None-Fridge-22/trial_T20190908_072702_772430,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CupType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_340 env_state env cup)\n(HeatObject_30 env_state env cup microwave)\n(PutObjectInReceptacle_642 env_state env cup fridge)')",True,"PickupObject_340, HeatObject_30, PutObjectInReceptacle_642","PickupObject_340, HeatObject_30, PutObjectInReceptacle_642"
train/look_at_obj_in_light-Pillow-None-DeskLamp-314/trial_T20190908_115844_093537,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o PillowType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleObjectOn_117 env_state env floorlamp)')",False,ToggleObjectOn_117,
train/pick_and_place_simple-BreadSliced-None-SideTable-3/trial_T20190907_000233_574076,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_542 env_state env bread)\n(SliceObject_282 env_state env bread)\n(PutObjectInReceptacle_342 env_state env bread countertop)')",False,"PickupObject_542, SliceObject_282, PutObjectInReceptacle_342",PickupObject_542
train/look_at_obj_in_light-Pen-None-FloorLamp-221/trial_T20190907_180910_112762,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o PenType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleObjectOn_194 env_state env floorlamp)\n(PickupObject_64 env_state env pen)')",True,"ToggleObjectOn_194, PickupObject_64","ToggleObjectOn_194, PickupObject_64"
train/pick_and_place_simple-Cloth-None-SinkBasin-417/trial_T20190908_120422_949453,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_1065 env_state env cloth)\n(PutObjectInReceptacle_29 env_state env cloth sinkbasin)')",False,"PickupObject_1065, PutObjectInReceptacle_29",
train/look_at_obj_in_light-Pillow-None-FloorLamp-212/trial_T20190907_163730_866373,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o PillowType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_467 env_state env pillow)\n(ToggleObjectOn_187 env_state env floorlamp)')",False,"PickupObject_467, ToggleObjectOn_187",PickupObject_467
train/look_at_obj_in_light-KeyChain-None-FloorLamp-223/trial_T20190909_110146_114031,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o KeyChainType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_356 env_state env keychain)\n(ToggleObjectOn_93 env_state env floorlamp)')",False,"PickupObject_356, ToggleObjectOn_93",PickupObject_356
train/pick_heat_then_place_in_recep-Apple-None-GarbageCan-12/trial_T20190908_172302_166350,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_459 env_state env apple)\n(WarmObject_1 env_state env apple stoveburner)\n(PutObjectInReceptacle_703 env_state env apple garbagecan)')",False,"PickupObject_459, WarmObject_1, PutObjectInReceptacle_703",
train/pick_clean_then_place_in_recep-Tomato-None-DiningTable-23/trial_T20190909_000922_271997,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_888 env_state env tomato)\n(RinseObject_0 env_state env tomato sinkbasin)\n(PutObjectInReceptacle_466 env_state env tomato diningtable)')",False,"PickupObject_888, RinseObject_0, PutObjectInReceptacle_466",
train/pick_cool_then_place_in_recep-AppleSliced-None-DiningTable-18/trial_T20190909_022438_980686,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_702 env_state env apple)\n(SliceObject_41 env_state env apple)\n(CoolObject_79 env_state env apple fridge)\n(PutObjectInReceptacle_302 env_state env apple diningtable)')",False,"PickupObject_702, SliceObject_41, CoolObject_79, PutObjectInReceptacle_302",PickupObject_702
train/pick_heat_then_place_in_recep-AppleSliced-None-SinkBasin-4/trial_T20190907_154132_135926,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_548 env_state env apple)\n(SliceObject_126 env_state env apple)\n(CookObject_7 env_state env apple stoveburner)\n(PutObjectInReceptacle_263 env_state env apple sinkbasin)')",False,"PickupObject_548, SliceObject_126, CookObject_7, PutObjectInReceptacle_263",PickupObject_548
train/pick_clean_then_place_in_recep-Apple-None-Fridge-27/trial_T20190906_220808_492885,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_228 env_state env apple)\n(CleanObject_11 env_state env apple sinkbasin)\n(PickupObject_482 env_state env apple)\n(PutObjectInReceptacle_308 env_state env apple fridge)')",False,"PickupObject_228, CleanObject_11, PickupObject_482, PutObjectInReceptacle_308",PickupObject_228
train/pick_heat_then_place_in_recep-Cup-None-Cabinet-8/trial_T20190907_170522_408193,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CupType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_1102 env_state env glassbottle)\n(HeatObject_3 env_state env glassbottle stoveburner)\n(PickupObject_275 env_state env glassbottle)\n(PutObjectInReceptacle_78 env_state env glassbottle cabinet)')",False,"PickupObject_1102, HeatObject_3, PickupObject_275, PutObjectInReceptacle_78",PickupObject_1102
train/pick_cool_then_place_in_recep-AppleSliced-None-Microwave-11/trial_T20190909_152218_676963,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(SliceObject_295 env_state env apple)\n(CoolObject_135 env_state env apple fridge)\n(PutObjectInReceptacle_303 env_state env apple microwave)')",False,"SliceObject_295, CoolObject_135, PutObjectInReceptacle_303",
train/pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-7/trial_T20190908_123421_558588,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CoffeeMachineType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_302 env_state env mug)\n(HeatObject_138 env_state env mug stoveburner)\n(PutObjectInReceptacle_780 env_state env mug coffeemachine)')",False,"PickupObject_302, HeatObject_138, PutObjectInReceptacle_780",
train/pick_cool_then_place_in_recep-Apple-None-Microwave-12/trial_T20190911_003046_688848,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_74 env_state env apple)\n(CoolObject_147 env_state env apple fridge)\n(PutObjectInReceptacle_176 env_state env apple microwave)')",False,"PickupObject_74, CoolObject_147, PutObjectInReceptacle_176",PickupObject_74
train/pick_clean_then_place_in_recep-ButterKnife-None-Drawer-30/trial_T20190908_051931_072703,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ButterKnifeType) \n                (receptacleType ?r DrawerType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_839 env_state env knife)\n(PutObjectInReceptacle_860 env_state env knife drawer)')",False,"PickupObject_839, PutObjectInReceptacle_860",
train/pick_cool_then_place_in_recep-WineBottle-None-Cabinet-16/trial_T20190907_084106_624638,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o WineBottleType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_112 env_state env winebottle)\n(CoolObject_115 env_state env winebottle fridge)\n(PutObjectInReceptacle_386 env_state env winebottle cabinet)')",False,"PickupObject_112, CoolObject_115, PutObjectInReceptacle_386",PickupObject_112
train/pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_044255_995925,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ButterKnifeType) \n                (receptacleType ?r DrawerType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_866 env_state env knife)\n(CleanObject_49 env_state env knife sinkbasin)\n(PutObjectInReceptacle_140 env_state env knife drawer)')",False,"PickupObject_866, CleanObject_49, PutObjectInReceptacle_140",PickupObject_866
train/pick_heat_then_place_in_recep-Egg-None-SideTable-21/trial_T20190907_045036_700265,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_875 env_state env egg)\n(HeatObject_163 env_state env egg microwave)\n(PutObjectInReceptacle_135 env_state env egg sidetable)')",False,"PickupObject_875, HeatObject_163, PutObjectInReceptacle_135",
train/pick_and_place_simple-Bowl-None-CoffeeTable-201/trial_T20190907_171714_885383,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BowlType) \n                (receptacleType ?r CoffeeTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_706 env_state env bowl)\n(PutObjectInReceptacle_769 env_state env bowl coffeetable)')",True,"PickupObject_706, PutObjectInReceptacle_769","PickupObject_706, PutObjectInReceptacle_769"
